順位,メーカー名,スコア,該当商品数,想定仕入れ金額の中央値,Amazon価格の中央値,消化月数の中央値,主なカテゴリ,規模フラグ,リスク区分あり件数,代表商品名,代表ASIN
110,ウッディプッディ(Woodypuddy),0.6892,1,2049,6592,1,おもちゃ,中小候補,0,ウッディプッディ(Woodypuddy) サラダセット,B07NN9Z9C8
111,ホーチキ(Hochiki),0.6805,1,1112,3480,1,DIY・工具・ガーデン,中小候補,0,ホーチキ 火災警報器 ホワイト 9.5×9.5×2.8cm 音声タイプ(煙式) SS-2LT-10HCC,B07DWPBD46
112,和平フレイズ(Wahei freiz),0.6688,2,138,2548,2,スポーツ＆アウトドア,中小候補,0,和平フレイズ 麺類にうってつけ! 吹きこぼれにくい 両手鍋 24cm (口径22cm) IH・ガス対応 煮る 茹でる 炊飯 コロージュ RB-1707,B08DCNBPTW
113,エアブラシワークス,0.6683,2,1883,3570,1,ホビー,中小候補,0,エアブラシワークス AW-103 エアブラシ ハンドピース 0.3mm 0.2mm 0.5mm ダブルアクション プラモデル 塗装 ガンプラ 初心者,B0BNMCRHK9
114,祥伝社,0.6679,1,4485,13506,1,本,中小候補,0,違国日記　全１１巻セット (FEEL コミックス),4396769253
115,メビウス,0.6656,1,2281,6822,1,ゲーム,中小候補,0,BURAI MSX2コンプリート 通常版 -Switch,B0FDFW63C3
116,ビーイング,0.6643,2,8081,15240,1,DVD,中小候補,0,劇場版 名探偵コナン 純黒の悪夢(ナイトメア)(初回限定盤)[DVD],B01IVNMRIU
117,NBCユニバーサル・エンターテイメントジャパン,0.6586,7,3945,7856,2,DVD,中小候補,0,バック・トゥ・ザ・フューチャー トリロジー 30thアニバーサリー・デラックス・エディション スチールブック・ブルーレイ [Blu-ray],B0142J2U6Q
118,スパイク・チュンソフト,0.6529,3,1964,7980,2,ゲーム,中小候補,0,ウィッチャー３ ワイルドハント コンプリートエディション -PS5,B0BMVCTFT9
119,こぐま会,0.6487,2,151,1827,2,本,中小候補,0,ひとりでとっくん65 つみ木の数,4863620748
