exhibitor,booth,class
オウルテック,東2-T18-47,PASS
グライ＆シフ ジャパン,西4-T57-11,PASS
C'BON,東7-T42-14,海外表記(国内から仕入れられない)
TYESO／KOTANI金属工業（株）,西1-T11-01,海外表記(国内から仕入れられない)
大分県日田市,西3-T44-03,団体・自治体・教育機関(メーカーでない)
クラウドファンディング・ラウンジ,東2-T19-30,PASS
SEAM.SHOES,西1-AC-21,海外表記(国内から仕入れられない)
大同至高（株）,東3-T27-11,PASS
アムール・デ・フルール,西2-T38-03,PASS
OATアグリオ,西2-T34-15,PASS
暮らしの「これ、ええで」大阪 セレクション,西1-T12-04,PASS
シーレル,東7-T43-27,PASS
DAI Trading,東2-T19-30,海外表記(国内から仕入れられない)
a・mu NISHINOMIYA,東7-MC20,海外表記(国内から仕入れられない)
（株）大江 （大江シルク）,東3-T29-40,PASS
くらしを彩る,西2-T26-09,PASS
JHL（株）,西4-T54-06,海外表記(国内から仕入れられない)
第22回アジア太平洋小売業者大会【東京大会】,東2-T16-20,PASS
（株）AMOT,西3-T39-04,海外表記(国内から仕入れられない)
（有）大尾嘉漆器,西1-T06-12,PASS
（有）JS企画,西4-T54-01,PASS
大日産業（株）,東7-SL10,PASS
（有）大川工芸,東3-T22-18,PASS
（株）JS FLUX,西2-T22-14,海外表記(国内から仕入れられない)
ダイバーシティ,東7-T38-32,PASS
（有）新井人形店,西3-T42-11,PASS
大北商事（株）,東2-T18-07,商社・代理店・デザイン(メーカー直でない)
A la carte for baby & kids,西1-T13-08,海外表記(国内から仕入れられない)
オークヴィレッジ,西1-T06-08,PASS
暮らす仙台,西3-T41-04,PASS
（株）JTB ギフトトラベルセンター,東2-T18-03,PASS
有田商工会議所,東7-T44-28,団体・自治体・教育機関(メーカーでない)
MARVISTA 大口産業（株）,西2-T38-21,PASS
蔵出しみかんの藤原農園（株）,東7-T38-20,PASS
ジェイディジャパン,東2-T14-46,PASS
（株）太陽機械製作所,西3-T44-10,PASS
有田焼 CASE ARITA,西1-T05-12,海外表記(国内から仕入れられない)
大阪靴メーカー協同組合,東7-T35-34,団体・自治体・教育機関(メーカーでない)
（株）Jドリーム,東2-T12-46,PASS
大洋技研（株）,東7-T47-20,PASS
有松人形工房,西3-T42-11,PASS
大阪芸術大学デザイン学科,西4-T51-02,団体・自治体・教育機関(メーカーでない)
ジェイファニチャー,西2-T20-22,PASS
太陽薬品（株）,東7-T39-33,PASS
（株）有本製作所,西3-T45-08,PASS
（株）大下博商店,西3-T40-04,PASS
グラノクス,西1-T01-03,PASS
（株）J.フロントプライムスペース,西4-T49-18,PASS
AL-ART 丸信金属工業(株),西2-T35-14,PASS
グラフェン機能素材×日常アイテム,東7-T38-29,PASS
ジェーイーモーガン,東7-SL05,PASS
TAIRU,西3-T44-10,海外表記(国内から仕入れられない)
オーソフィート,東7-T38-36,PASS
ジェッカ ブロック,東3-T23-42,PASS
タオル美術館グループ,西4-T57-06,PASS
アルタミラ,東7-MC40,PASS
（公財）大田区産業振興協会,西3-T44-10,団体・自治体・教育機関(メーカーでない)
（有）大塚木型製作所,西4-SO-06,PASS
Green Flash,東2-T17-28,海外表記(国内から仕入れられない)
GERRY,東7-SL10,海外表記(国内から仕入れられない)
