exhibitor,booth,class
"NINGBO WEWORK INTERNATIONAL TRADING CO., LTD.",南1-T02-26,海外表記(国内から仕入れられない)
ブローニュ,東7-T43-25,PASS
（株）YARD,西2-T37-15,海外表記(国内から仕入れられない)
DONGGUAN BABE JOY TECHNOLOGY LIMITED,南1-T02-34,海外表記(国内から仕入れられない)
"NINGBO YAWEN INTERNATIONAL TRADING CO., LTD.",南2-T11-32,海外表記(国内から仕入れられない)
（株）nomad's,東3-T25-04,海外表記(国内から仕入れられない)
FLORE21,西2-T35-17,海外表記(国内から仕入れられない)
八木書店（新本アウトレットブック卸）,東2-T18-37,除外カテゴリ(版元/音楽/ゲーム)
"DONGGUAN BEIYUAN CULTURAL GIFTS CO., LTD.",南1-T04-03,海外表記(国内から仕入れられない)
NINGBO YINZHOU DAOQI INTERNATIONAL TRADING COMPANY,南2-T11-09,海外表記(国内から仕入れられない)
野村タオル,西2-T27-03,PASS
ブロカント モモ,西2-T27-25,PASS
安田商店,東7-T35-14,PASS
DONGGUAN BLUE OCEAN GIFTS LIMITED,南2-T09-36,海外表記(国内から仕入れられない)
"NINGBO YUMULIN IMPORT AND EXPORT CO., LTD.",南1-T04-10,海外表記(国内から仕入れられない)
ノルディックバディズジャパン,西4-T57-06,PASS
ブロスサウナ,西4-GLS-11,PASS
"DONGGUAN BUBU CULTURAL GIFT CO., LTD.",南2-T08-13,海外表記(国内から仕入れられない)
"NINGBO ZISZIS KITCHENWARE CO., LTD.",南2-T08-27,海外表記(国内から仕入れられない)
NORÉNE,西4-T56-16,海外表記(国内から仕入れられない)
プロテック,東7-T50-05,PASS
NINGBO RAFFINI INTERNATIONAL ENTERPRISE LIMITED,南1-T06-21,海外表記(国内から仕入れられない)
"DONGGUAN CAT-LIKE MANUFACTURING CO., LTD.",南2-T14-27,海外表記(国内から仕入れられない)
"PERFECT GROUP CORP., LTD.",南1-T07-33,海外表記(国内から仕入れられない)
パーリィー,西1-T08-10,PASS
フロンティア,東7-T50-28,PASS
"DONGGUAN CHANGPING QIAOLI LEE TAT LUGGAGE BAGS CO., LTD.",南1-T05-15,海外表記(国内から仕入れられない)
"PLACOM (QINGDAO) ARTS & CRAFTS CO., LTD.",南2-T15-33,海外表記(国内から仕入れられない)
Beargle（株）,西1-T12-04,海外表記(国内から仕入れられない)
YAMAKIN,東7-T47-02,海外表記(国内から仕入れられない)
"DONGGUAN CHANGRONG GIFT CO., LTD",南2-T12-04,海外表記(国内から仕入れられない)
"PROGRESSIVE CO., LTD.",南2-T12-28,海外表記(国内から仕入れられない)
（株）米菓桃乃屋,西1-T01-15,PASS
(有)ヤマザキクリエイト,西3-T39-04,PASS
"DONGGUAN CITY XINMING GIFT CO., LTD.",南2-T08-15,海外表記(国内から仕入れられない)
"PUJIAXIN CULTURAL COMMUNICATION (SHANGHAI) CO., LTD.",南2-T09-31,海外表記(国内から仕入れられない)
Buy TOKYO／東京都,西3-T42-03,海外表記(国内から仕入れられない)
ベーシック,西3-T44-04,PASS
山﨑石材（株）,西3-T42-17,PASS
"DONGGUAN CITY XINYUAN NONWOVEN CO., LTD.",南1-T06-35,海外表記(国内から仕入れられない)
"QIDONG JINWANLI LEATHER CO., LTD.",南2-T13-25,海外表記(国内から仕入れられない)
梅南鋼材（株）,西1-T12-04,PASS
山﨑内装工業（株）,西4-T50-08,PASS
"DONGGUAN CREATION GREEN ENERGY ELECTRONIC TECH CO., LTD.",南2-T09-06,海外表記(国内から仕入れられない)
"QINGDAO AORUI ARTS & CRAFTS CO., LTD.",南2-T12-30,海外表記(国内から仕入れられない)
ペーパーストーリー,東2-T15-31,PASS
"DONGGUAN DONSY SMART TECHNOLOGY CO., LTD.",南2-T09-08,海外表記(国内から仕入れられない)
QINGDAO ASSOCIATED TEXTILES GROUP,南1-T06-36,海外表記(国内から仕入れられない)
山精水産,東7-Ｔ48-02,PASS
"DONGGUAN DS ELECTRONICS TECHNOLOGY CO., LTD.",南2-T14-36,海外表記(国内から仕入れられない)
"QINGDAO BANGLAIXIN TRADING CO., LTD.",南1-T07-31,海外表記(国内から仕入れられない)
PESHMAL,西1-T07-02,海外表記(国内から仕入れられない)
"DONGGUAN DSUN GIFTS CO., LTD.",南2-T08-03,海外表記(国内から仕入れられない)
"QINGDAO BRILLIANT ARTS CO., LTD.",南2-T13-22,海外表記(国内から仕入れられない)
"DONGGUAN EASTFOAM LNDUSTRIES CO., LTD.",南2-T13-37,海外表記(国内から仕入れられない)
"QINGDAO CHANG GE TRADE CO., LTD.",南1-T02-33,海外表記(国内から仕入れられない)
PACOON,西1-T13-08,海外表記(国内から仕入れられない)
ベストエバージャパン,東3-T24-20,PASS
"DONGGUAN FEIHE ARTS&CRAFTS CO., LTD.",南2-T10-02,海外表記(国内から仕入れられない)
"QINGDAO DELONG TEXTILE CO., LTD.",南1-T04-09,海外表記(国内から仕入れられない)
励ましのポストカード,東2-T16-43,PASS
GEZELLIG + Spica,西3-T41-04,海外表記(国内から仕入れられない)
"DONGGUAN G.K TECHNOLOGY CO., LTD.",南2-T15-21,海外表記(国内から仕入れられない)
"QINGDAO DEWELLS ARTS AND CRAFTS CO., LTD.",南2-T13-24,海外表記(国内から仕入れられない)
HAKOBUNÉ／（株）すえ木工,西4-GLS-07,PASS
BetulaN,西4-SO-02,海外表記(国内から仕入れられない)
山中漆器,西1-T06-12,PASS
"DONGGUAN GOOD IMPRESSION INDUSTRIAL CO., LTD.",南2-T15-34,海外表記(国内から仕入れられない)
"QINGDAO DYNAMIC TOYS CO., LTD.",南1-T05-33,海外表記(国内から仕入れられない)
Betta,西1-T13-08,海外表記(国内から仕入れられない)
"DONGGUAN HAIWANG PACKAGING PRODUCTS CO., LTD.",南1-T05-13,海外表記(国内から仕入れられない)
"QINGDAO ETERNAL WEALTH TEXTILE & GARMENTS CO., LTD.",南1-T05-08,海外表記(国内から仕入れられない)
別府商工会議所,東7-T48-10,団体・自治体・教育機関(メーカーでない)
"DONGGUAN HANLIN GIFT CO., LTD.",南1-T05-09,海外表記(国内から仕入れられない)
"QINGDAO FUTURE TOYS CO., LTD.",南2-T09-21,海外表記(国内から仕入れられない)
箸の兵左衛門,西3-T40-04,PASS
別府つげ工芸,東7-T48-10,PASS
DONGGUAN HAPPY SOUVENIRS LTD.,南2-T12-08,海外表記(国内から仕入れられない)
QINGDAO GOOD FORTUNE IMPORT AND EXPORT CORPORATION LTD.,南1-T05-04,海外表記(国内から仕入れられない)
パシフィックGLD,西2-T29-19,PASS
山本洋品雑貨（株）,東7-SL10,PASS
"DONGGUAN HETAI TRADING CO., LTD.",南1-T07-38,海外表記(国内から仕入れられない)
"QINGDAO HANGBIAO INTERNATIONAL TRADE CO., LTD.",南2-T10-31,海外表記(国内から仕入れられない)
パシフィック・リーグ6球団（PLM）,東2-T15-26,PASS
YaYaパール,東7-T47-02,PASS
"DONGGUAN HONGQIAN CULTURAL DEVELOPMENT CO., LTD.",南2-T09-22,海外表記(国内から仕入れられない)
"QINGDAO HOYUNLONG TRADING CO., LTD.",南1-T07-02,海外表記(国内から仕入れられない)
（株）橋本幸作漆器店,西3-T39-03,PASS
ペルシャ キリム （有）,西2-T30-01,PASS
（株）ユアーショップ,東7-T46-02,PASS
"DONGGUAN IQE LEATHER PRODUCTS CO., LTD.",南2-T15-26,海外表記(国内から仕入れられない)
"QINGDAO J.RAIN TEXTILE CO., LTD.",南1-T06-01,海外表記(国内から仕入れられない)
ベル・ブランシェ,東7-T35-16,PASS
YOURSARMYWORLD,西1-T13-08,海外表記(国内から仕入れられない)
DONGGUAN JIMFUK SMART GLASS COMPANY LIMITED,南1-T03-32,海外表記(国内から仕入れられない)
"QINGDAO JUYI INERNATIONAL TRADING CO., LTD.",南2-T15-15,海外表記(国内から仕入れられない)
豊月堂,西3-T39-03,PASS
（株）Yui,東7-T49-02,海外表記(国内から仕入れられない)
"DONGGUAN JINCHEN CULTURAL GIFTS CO., LTD.",南2-T13-32,海外表記(国内から仕入れられない)
"QINGDAO LAND-SEA LONGBAO TRADING CO., LTD.",南1-T06-24,海外表記(国内から仕入れられない)
Pass+Time,東7-T47-02,海外表記(国内から仕入れられない)
防災グッズ大賞2026／（一社）災害防止研究所,東7-T42-01,PASS
YUI MATSUDA,西1-AC-03,海外表記(国内から仕入れられない)
"DONGGUAN JINSHENG CRAFT PRODUCTS CO., LTD.",南2-T08-09,海外表記(国内から仕入れられない)
"QINGDAO LIVING LABO ECONOMIC&TRADE CO., LTD.",南1-T07-01,海外表記(国内から仕入れられない)
HADACA（肌鹿）／KIROKU（木鹿）,西1-T04-08,海外表記(国内から仕入れられない)
（株）宝来商事,西1-T11-05,商社・代理店・デザイン(メーカー直でない)
(株)ユーシ・イレブン,東7-Ｔ48-02,PASS
"DONGGUAN JIYOUMEI ARTAGFITS CO., LTD.",南1-T07-03,海外表記(国内から仕入れられない)
"QINGDAO LONGYISHI TRADING CO., LTD.",南1-T06-28,海外表記(国内から仕入れられない)
羽立工業（株）,東7-T40-29,PASS
（株）BOCHEGTRADING,東7-T44-21,海外表記(国内から仕入れられない)
（株）ユース,西1-T08-02,PASS
"DONGGUAN JUFU ANIMATION TECHNOLOGY CO., LTD.",南1-T03-16,海外表記(国内から仕入れられない)
"QINGDAO MURANXIN ARTS & CRAFTS CO., LTD.",南2-T13-26,海外表記(国内から仕入れられない)
Utukky,西4-T56-08,海外表記(国内から仕入れられない)
"DONGGUAN JUNSHENG INTERNATIONAL TRADING CO., LTD.",南1-T03-01,海外表記(国内から仕入れられない)
"QINGDAO QINGQINGFANG IMPORT & EXPORT CO., LTD.",南2-T14-11,海外表記(国内から仕入れられない)
pack all & banana trip,東7-T36-24,海外表記(国内から仕入れられない)
U-Trade,東2-T19-30,海外表記(国内から仕入れられない)
"DONGGUAN JUNXIAN HOUSEHOLD PRODUCTS CO., LTD.",南2-T09-10,海外表記(国内から仕入れられない)
"QINGDAO RUNNING ARTS AND CRAFTS CO., LTD.",南1-T02-35,海外表記(国内から仕入れられない)
HAPPY FACE,東7-FS21,海外表記(国内から仕入れられない)
（株）北星社,西3-T45-04,PASS
（株）ユーパワー,西2-T31-18,PASS
"DONGGUAN KMS CRAFTS & GIFTS INDUSTRIAL CO., LTD.",南2-T14-20,海外表記(国内から仕入れられない)
"QINGDAO SINOTEX INDUSTRY CO., LTD.",南2-T10-29,海外表記(国内から仕入れられない)
Patti & クッキーの輪,東2-T15-17,PASS
北陸製菓（株）,西4-T57-06,PASS
悠々庵／（有）吉創庵,西2-T34-01,PASS
"DONGGUAN KUNYAO CULTURE CO., LTD.",南2-T14-25,海外表記(国内から仕入れられない)
"QINGDAO SUNPOINT INTERNATIONAL TRADE CO., LTD.",南1-T03-09,海外表記(国内から仕入れられない)
ほしつむ,東7-T45-16,PASS
（株）優良國際,東7-T37-14,PASS
"DONGGUAN LAFULAIFU TECHNOLOGY CO., LTD.",東8-T55-02,海外表記(国内から仕入れられない)
"QUANZHOU TYRRELLS UMBRELLA CO., LTD.",南1-T03-29,海外表記(国内から仕入れられない)
YL GIFTS LIMITED,南2-T11-05,海外表記(国内から仕入れられない)
"A'ROMA FLAVUM CO., LTD.",東7-T50-04-12,海外表記(国内から仕入れられない)
LUMISERA,東7-T51-29,海外表記(国内から仕入れられない)
"COOKWELL MFG CO., LTD.",東2-T19-19,海外表記(国内から仕入れられない)
"YONGKANG HACSO HOUSEHOLD CO., LTD.",南2-T14-37,海外表記(国内から仕入れられない)
AROMA LIVING,東7-T40-36,海外表記(国内から仕入れられない)
"MACKLIN CO., LTD.",東8-T55-32,海外表記(国内から仕入れられない)
COSMOS COLLECTION CO.,東3-T20-18,海外表記(国内から仕入れられない)
"YONGKANG TIANYE INDUSTRY & TRADE CO., LTD.",南1-T06-07,海外表記(国内から仕入れられない)
ART&HUG,東3-Ｔ25-46,海外表記(国内から仕入れられない)
"MASCOLANZA CO., LTD",東3-T27-42,海外表記(国内から仕入れられない)
"DANKEN ENTERPRISE CO., LTD.",東3-T20-20,海外表記(国内から仕入れられない)
"YOU AND EARTH CRAFT MANUFACTURING(DONGGUAN) CO., LTD.",南2-T14-24,海外表記(国内から仕入れられない)
"AZING CO., LTD.",東7-T50-04-22,海外表記(国内から仕入れられない)
"MATERIALAB CO., LTD",南1-T01-12,海外表記(国内から仕入れられない)
DIVERTIMENTO INC.,東2-T20-23,海外表記(国内から仕入れられない)
"YUNNAN SHEA BIOTECHNOLOGY CO., LTD.",南2-T10-04,海外表記(国内から仕入れられない)
BANRYEO CHAEK,東7-T40-36,海外表記(国内から仕入れられない)
"ME IN GOLD CO.,LTD",南1-T02-03,海外表記(国内から仕入れられない)
"FAR VISION TECHNOLOGY CO., LTD.",東7-T37-32,海外表記(国内から仕入れられない)
"ZAIDTEK ELECTRONIC TECHNOLOGY (XIAMEN) CO., LTD.",南1-T05-25,海外表記(国内から仕入れられない)
BAREUNCOSMEDICAL,東7-T50-04-21,海外表記(国内から仕入れられない)
MEMSLUX INC.,東8-T54-25,海外表記(国内から仕入れられない)
"FORYU DESIGN CO., LTD.",東3-T21-18,海外表記(国内から仕入れられない)
"QUANZHOU WENBAO LIGHT INDUSTRY CO., LTD.",南2-T12-11,海外表記(国内から仕入れられない)
"ZAOZHUANG LONGKAI TOYS CO., LTD.",南1-T03-07,海外表記(国内から仕入れられない)
"BASKATION CO.,LTD. / DESILLAB",東7-T50-04-11,海外表記(国内から仕入れられない)
MERRY ART CENTER,東8-T54-32,海外表記(国内から仕入れられない)
"FOSEN INDUSTRIAL CO., LTD.",東2-T19-14,海外表記(国内から仕入れられない)
RICHLAND INTERNATIONAL COMPANY LTD,南2-T14-29,海外表記(国内から仕入れられない)
ZHANGJIAGANG FULL SUM PLASTIC RUBBER PRODUCTS LTD,南2-T11-10,海外表記(国内から仕入れられない)
BENILIGHT,東8-T55-26,海外表記(国内から仕入れられない)
"MERRYVERSE STUDIO. CO., LTD.",東2-T17-19,海外表記(国内から仕入れられない)
"FUJI HOME GROUP CO., LTD.",東2-T19-18,海外表記(国内から仕入れられない)
"SHANDONG HAIJIN INTERNATIONAL TRADING CO., LTD.",南1-T03-10,海外表記(国内から仕入れられない)
"ZHANGZHOU ENYANG PREMIUM CO., LTD.",南1-T07-15,海外表記(国内から仕入れられない)
BEVLAH,南1-T02-03,海外表記(国内から仕入れられない)
MIGNONKOREA,東8-T55-18,海外表記(国内から仕入れられない)
GNASAL-EASYBREATH,東2-T19-23,海外表記(国内から仕入れられない)
"SHANDONG LINUO TECHNICAL GLASS CO., LTD.",南1-T04-05,海外表記(国内から仕入れられない)
"ZHEJIANG CENTURY HOME PRODUCT CO., LTD.",南1-T04-07,海外表記(国内から仕入れられない)
BIBIMCOS (LIMONIANKOREA),南1-T02-03,海外表記(国内から仕入れられない)
"MISSPLUS CO.,LTD.",東8-T55-30,海外表記(国内から仕入れられない)
"GO WIN INDUSTRIAL CO., LTD.",東2-T19-09,海外表記(国内から仕入れられない)
"SHANDONG NICELOOK CO., LTD.",南1-T04-14,海外表記(国内から仕入れられない)
"ZHEJIANG DAIJUN CRAFTS CO., LTD.",南2-T10-23,海外表記(国内から仕入れられない)
"BIOPOLYTECH CO., LTD",東8-T55-28,海外表記(国内から仕入れられない)
MONENNE,東7-T40-36,海外表記(国内から仕入れられない)
GOLDEEP LTD.,東2-T20-19,海外表記(国内から仕入れられない)
"SHANDONG YINGTE MEDICAL TECHNOLOGY CO., LTD.",南1-T07-08,海外表記(国内から仕入れられない)
"ZHEJIANG EISLEY COMMODITY CO., LTD.",東8-T55-06,海外表記(国内から仕入れられない)
BMIX STUDIO,西4-T56-12,海外表記(国内から仕入れられない)
NAIFFY INC.,東8-T55-23,海外表記(国内から仕入れられない)
GOOD FARMS,東2-T19-22,海外表記(国内から仕入れられない)
"SHANGHAI BRISAFE TECHNOLOGY CO., LTD.",南2-T10-16,海外表記(国内から仕入れられない)
"ZHEJIANG EVER WELL IMPORT AND EXPORT CO., LTD.",南2-T10-12,海外表記(国内から仕入れられない)
BS INTERNATIONAL,東7-T40-36,海外表記(国内から仕入れられない)
NAM SUNG SOOK,西1-T14-04,海外表記(国内から仕入れられない)
"GREAT BALL CO., LTD",東2-T19-11,海外表記(国内から仕入れられない)
"SHANGHAI EAST BEST FOREIGN TRADE CO., LTD.",東7-T33-34,海外表記(国内から仕入れられない)
"ZHEJIANG FANEN SMART HOME CO., LTD.",南2-T13-16,海外表記(国内から仕入れられない)
"BURICL CO., LTD.",東8-T56-32,海外表記(国内から仕入れられない)
NAWA. INC,東8-T54-33,海外表記(国内から仕入れられない)
"HAW YANG CO., LTD.",東3-T21-09,海外表記(国内から仕入れられない)
"SHANGHAI HENGQIANG ENTERPRISE CO., LTD.",南1-T04-36,海外表記(国内から仕入れられない)
"ZHEJIANG FEIJIAN GROUP CO., LTD.",南1-T06-03,海外表記(国内から仕入れられない)
BUSAN ECONOMIC PROMOTION AGENCY,東8-T56-10,海外表記(国内から仕入れられない)
"NFOOD CO., LTD",東8-T56-18,海外表記(国内から仕入れられない)
HUNG DE PLASTIC ENTERPRISE FACTORY ｜RETRO MOTIF,東2-T19-26,海外表記(国内から仕入れられない)
"SHANGHAI JIONGLONG INTERNATIONAL TRADE CO., LTD.",南2-T10-14,海外表記(国内から仕入れられない)
"ZHEJIANG FENGHUI BAMBOO AND WOOD CO., LTD.",南2-T09-05,海外表記(国内から仕入れられない)
"BUYINTERNATIONAL CO., LTD.",東7-T50-04-04,海外表記(国内から仕入れられない)
NOAH BIOTECH INC.,東8-T55-22,海外表記(国内から仕入れられない)
ITART'S INTERNATIONAL CO LTD,東3-T20-26,海外表記(国内から仕入れられない)
"ZHEJIANG GUANGWU INDUSTRY AND TRADE CO., LTD.",南2-T11-01,海外表記(国内から仕入れられない)
CELLHAPPYCO,東8-T56-29,海外表記(国内から仕入れられない)
ODDBI,東2-T18-22,海外表記(国内から仕入れられない)
JENG TAIR INTERNATIONAL LIMITED,東3-T21-12,海外表記(国内から仕入れられない)
"SHANGHAI STANDARD INTERNATIONAL TRADE CO., LTD.",南1-T03-33,海外表記(国内から仕入れられない)
"ZHEJIANG HAODA SCIENCE AND TECHNOLOGY CO., LTD.",南1-T06-13,海外表記(国内から仕入れられない)
CHILMONG,西4-T53-04,海外表記(国内から仕入れられない)
OHMIA,西1-T14-10,海外表記(国内から仕入れられない)
JET PRINT TECHNOLOGY CORP.,東3-T20-10,海外表記(国内から仕入れられない)
"SHANGRAO LIGHTNING OUTDOOR PRODUCTS CO., LTD.",南2-T09-34,海外表記(国内から仕入れられない)
"ZHEJIANG HONGLING TRADING & MANUFACTURING CO., LTD.",南1-T08-10,海外表記(国内から仕入れられない)
CHOBIO CORPORATION,東8-T56-25,海外表記(国内から仕入れられない)
OHSOPH,南1-T02-03,海外表記(国内から仕入れられない)
"JOYTOY INDUSTRIAL CO., LTD",東2-T20-09,海外表記(国内から仕入れられない)
"SHAOXING SHANGYU DISTRICT XUNCHI TOURISM SUPPLIES CO., LTD.",南2-T15-31,海外表記(国内から仕入れられない)
"ZHEJIANG KELAND ELECTRIC APPLIANCE CO., LTD.",南1-T04-31,海外表記(国内から仕入れられない)
CHOI JI YOUNG,西1-T14-04,海外表記(国内から仕入れられない)
OK SEUNG HO,西1-T14-04,海外表記(国内から仕入れられない)
"KING CHAR CO., LTD",東3-T21-14,海外表記(国内から仕入れられない)
"SHAOXING SHANGYU JIARUI UMBRELLA CO., LTD.",南2-T13-36,海外表記(国内から仕入れられない)
"ZHEJIANG MAIBO INDUSTRIAL CO., LTD.",南1-T04-29,海外表記(国内から仕入れられない)
CHOI SANG SEOP,西1-T14-04,海外表記(国内から仕入れられない)
OKYOUNG INDUSTRY,東7-T40-36,海外表記(国内から仕入れられない)
"KING STOCK INT'L CO., LTD.",東3-T20-16,海外表記(国内から仕入れられない)
"SHAOXING SHANGYU JIUDA UMBRELLA INDUSTRY CO., LTD.",南2-T09-03,海外表記(国内から仕入れられない)
"ZHEJIANG NAVIGATE INDUSTRY&TRADING CO., LTD.",東8-T55-10,海外表記(国内から仕入れられない)
CHUNGCHEONG PAVILION,東8-T54-18,海外表記(国内から仕入れられない)
"OLDAM CO., LTD",東8-T54-26,海外表記(国内から仕入れられない)
KUBILA INTERNATIONAL INC.,東3-T20-12,海外表記(国内から仕入れられない)
"SHAOXING SHENZHOU TOURISM SUPPLIES CO., LTD.",南1-T08-14,海外表記(国内から仕入れられない)
"ZHEJIANG TENGXIN UMBRELLA CO., LTD.",南2-T13-18,海外表記(国内から仕入れられない)
City of Culture ANSEONG,西1-T14-04,海外表記(国内から仕入れられない)
OLY.B,東7-T50-04-10,海外表記(国内から仕入れられない)
KUNNEX INCORPORATED,東3-T21-25,海外表記(国内から仕入れられない)
"SHAOXING SHUNMAO HOME TEXTILE CO,. LTD.",南2-T09-09,海外表記(国内から仕入れられない)
"ZHEJIANG TIANWEI UMBRELLA CO., LTD.",南1-T04-21,海外表記(国内から仕入れられない)
CLAPS,南1-T02-03,海外表記(国内から仕入れられない)
"ONL CO., LTD",東8-T56-20,海外表記(国内から仕入れられない)
"LINSHAN FARMERS SELECT CO., LTD.",東2-T20-07,海外表記(国内から仕入れられない)
"SHAOXING XUDESHUN CLOTHING TECHNOLOGY CO., LTD.",南2-T15-18,海外表記(国内から仕入れられない)
"ZHEJIANG TOPLINE IMP&EXP CO., LTD.",南2-T12-12,海外表記(国内から仕入れられない)
"CMA GLOBAL CO., LTD.",南1-T01-21,海外表記(国内から仕入れられない)
"ONLY ONE LAB CO., LTD.",東8-T57-11,海外表記(国内から仕入れられない)
"LONG KING PRINTING ENTERPRISE CO., LTD.",東3-T20-22,海外表記(国内から仕入れられない)
"SHEN ZHEN PERFECT GIFT CO., LTD.",南2-T12-22,海外表記(国内から仕入れられない)
"ZHEJIANG YIRUI HOUSEWARE CO., LTD.",南1-T02-22,海外表記(国内から仕入れられない)
CONFI,西2-T33-15,海外表記(国内から仕入れられない)
ONSOOB,南1-T02-03,海外表記(国内から仕入れられない)
LOVELY CREATIONS CORP.,東3-T21-11,海外表記(国内から仕入れられない)
"SHENZHEN BAIBAIKANG TECHNOLOGY CO., LTD.",南2-T09-13,海外表記(国内から仕入れられない)
"ZHEJIANG YUANTAI ELECTRICAL TECHNOLOGY CO., LTD.",南2-T13-35,海外表記(国内から仕入れられない)
CS COMPANY,東8-T56-17,海外表記(国内から仕入れられない)
"PANGRAM CO., LTD",南1-T01-10,海外表記(国内から仕入れられない)
"MAJESTIC-M&A INTERNATIONAL CO., LTD.",東2-T19-08,海外表記(国内から仕入れられない)
"SHENZHEN BAOFUSHENG TECHNOLOGY CO., LTD.",南1-T06-33,海外表記(国内から仕入れられない)
"ZHEJIANG MANYI INDUSTRY AND TRADE CO., LTD.",南2-T13-06,海外表記(国内から仕入れられない)
CUFE,南1-T02-03,海外表記(国内から仕入れられない)
PARK SOUNG SU,西1-T14-04,海外表記(国内から仕入れられない)
MARUFUNG INTERNATIONAL CORP.,東3-T21-23,海外表記(国内から仕入れられない)
"SHENZHEN FCY TECHNOLOGIES CO., LTD.",南2-T15-16,海外表記(国内から仕入れられない)
"ZHONGSHAN BOYA COLOR PRINTING CO., LTD.",南2-T10-30,海外表記(国内から仕入れられない)
"CURAHEAL BIO CO., LTD.",東8-T56-19,海外表記(国内から仕入れられない)
"PCARTOON CO., LTD",南1-T01-24,海外表記(国内から仕入れられない)
"MIN CHIANG PAPER PRINT PRODUCTS CO., LTD.",東3-T21-13,海外表記(国内から仕入れられない)
"SHENZHEN GAODA HOT PRESSING PRODUCT CO., LTD.",南2-T15-17,海外表記(国内から仕入れられない)
"ZHONGSHAN FIFTH OPTION CULTURE CO., LTD.",南1-T03-14,海外表記(国内から仕入れられない)
DAEGYU PRECISION,東8-T55-20,海外表記(国内から仕入れられない)
PETEECO,西1-T14-10,海外表記(国内から仕入れられない)
"MU SPRINGS CREATIVE CO., LTD.",東7-T42-18,海外表記(国内から仕入れられない)
"SHENZHEN JICHUAN CRAFTS CO., LTD.",南2-T10-33,海外表記(国内から仕入れられない)
"ZHONGSHAN HANBAOLONG ELECTRICAL APPLIANCE CO., LTD.",南1-T03-11,海外表記(国内から仕入れられない)
DCBG INC,東8-T54-35,海外表記(国内から仕入れられない)
"PINKY COSMETIC CO., LTD.",南1-T02-03,海外表記(国内から仕入れられない)
NEWTECH SCIENTIFIC TECHNOLOGY CORP.,東2-T20-13,海外表記(国内から仕入れられない)
"SHENZHEN KECINTER INTERNATIONAL CO., LTD.",南2-T12-13,海外表記(国内から仕入れられない)
"ZHONGSHAN KINOKA ARTS & CRAFTS CO., LTD.",南2-T15-09,海外表記(国内から仕入れられない)
DEEPSCENT INC.,東8-T56-27,海外表記(国内から仕入れられない)
PKNU YTP GTEP,南1-T01-04,海外表記(国内から仕入れられない)
"ONEMORE CO., LTD",東2-T20-17,海外表記(国内から仕入れられない)
"SHENZHEN KUNHONG ELECTRONICS CO., LTD.",南1-T03-13,海外表記(国内から仕入れられない)
"ZHONGSHAN KONLON ELECTRICAL TECHNOLOGY CO., LTD.",南1-T05-11,海外表記(国内から仕入れられない)
DELIONE,西4-T55-03,海外表記(国内から仕入れられない)
PLEATICA,東7-T50-04-07,海外表記(国内から仕入れられない)
OSMAR BUCKLE LTD.,東3-T21-04,海外表記(国内から仕入れられない)
"SHENZHEN RAYMOTO INTELLIGENT TECHNOLOGY CO., LTD.",南2-T09-11,海外表記(国内から仕入れられない)
"ZHONGSHAN TOSHARE TECHNOLOGY CO., LTD.",南2-T14-32,海外表記(国内から仕入れられない)
DERMA CENTRIC,東7-T50-04-26,海外表記(国内から仕入れられない)
PUNNGI PREMIUM GOODS ARGRICULTURAL COPERATIVE,東7-T37-22,海外表記(国内から仕入れられない)
ROYAL MAYE CHIE. ENT. INC.,東2-T19-10,海外表記(国内から仕入れられない)
SHENZHEN SHANJING HARDWARE MANUFACTURING FACTORY,南1-T06-31,海外表記(国内から仕入れられない)
ロリー・ジャパン(株）,南2-T15-35,PASS
DESIGNSKIN,西2-T29-17,海外表記(国内から仕入れられない)
"QKOREA CO., LTD.",東8-T56-14,海外表記(国内から仕入れられない)
"SAN LIN COLOR PRINTING CO., LTD",東2-T19-03,海外表記(国内から仕入れられない)
"SHENZHEN SMILE TECHNOLOGY CO., LTD.",南2-T12-02,海外表記(国内から仕入れられない)
"DESIZON CO., LTD",東8-T54-22,海外表記(国内から仕入れられない)
RAINT,東7-T40-36,海外表記(国内から仕入れられない)
"SCIENCE INTERNATIONAL CO., LTD.(R)",西1-T14-17,海外表記(国内から仕入れられない)
"SHENZHEN TOPSHARP PRECISION ELECTRONICS CO., LTD.",東8-T55-11,海外表記(国内から仕入れられない)
PALASET,西4-T57-09,海外表記(国内から仕入れられない)
DOASUP,東8-T54-29,海外表記(国内から仕入れられない)
RAMIU_MEETU,東7-T50-04-15,海外表記(国内から仕入れられない)
SIMBALION,東2-T19-16,海外表記(国内から仕入れられない)
"SHENZHEN WANGSHUN COMPUTER EMBROIDERY CO., LTD.",南2-T14-15,海外表記(国内から仕入れられない)
"DODUM AGRICULTURAL CORPORATION CO., LTD",東8-T55-29,海外表記(国内から仕入れられない)
RESEMBLE FLOWER,西2-T37-13,海外表記(国内から仕入れられない)
"SKY 2000 INT'L CO., LTD.",東2-T19-12,海外表記(国内から仕入れられない)
"SHENZHEN XINYICHENG ACOUSTIC ELECTRONICS CO., LTD.",南1-T05-21,海外表記(国内から仕入れられない)
Gerald Hellmann,西1-T14-05,海外表記(国内から仕入れられない)
DONGSAN SPORTS,東7-T46-17,海外表記(国内から仕入れられない)
"SCHAFFENGOTT CO., LTD.",東8-T57-13,海外表記(国内から仕入れられない)
SNW LIFESTYLE & KITCHENWARE,東2-T19-17,海外表記(国内から仕入れられない)
