preset,ASIN,商品名,ブランド,メーカー,カテゴリ,ランク,新品オファー数,セラー名一覧,メーカー直販フラグ,新品最安値(送料込),価格定義混在,採用窓,損益分岐仕入れ値,損益分岐仕入れ値_精緻,FBAサイズ区分,外注費,規模フラグ,段1回転,段2値下げ耐性,判定,見送り理由,出品制限チェック,Amazonページ,※Keepa固有の加工値(月間ドロップ数/過去最安値/365日最安/月間販売数/実セラー数)と卸値の列は規約上の理由でリポジトリから除外。完全版は ~/Documents/AI Company 素材/Amazon物販事業/keepa-netsea-full-20260906/
A,B0C4X9TW9C,[マーナ] Shupatto 保冷バッグ (20L/ホワイトバーチ) シュパット 一気にたためる エコバッグ (折り畳み/大容量) 保冷バッグ,マーナ(Marna),Shupatto,ファッション > バッグ・スーツケース > エコバッグ・買い物バッグ,2268,2,マーナ公式 アマゾン店 / Amazon US,,4180,はい,2026-02-23以降,2507,3045,標準(小型),182,中小候補,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0C4X9TW9C,
A,B0FQ1X5R8C,【2026新登場・360°回転・折り畳み式】 タブレット スタンド iPad スタンド 4.7~13インチ対応 軽量 高さ 角度調整 滑り止め 放熱 通気性 安,Kungix,Kungix,パソコン・周辺機器 > PCアクセサリ・サプライ > タブレットアクセサリ,1533,2,HIDEMI SHOP / YUKA NO1,,1963,はい,2026-02-23以降,982,1074,標準1,282,中小候補,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0FQ1X5R8C,
A,B0FDPYH3JR,水月雨 Moondrop Pill オープンイヤー型ワイヤレスイヤホン イヤーカフ イヤホン オープンイヤー ワイヤレス Bluetooth 6.0,Moondrop,Moondrop,家電＆カメラ > イヤホン・ヘッドホン > イヤホン・ヘッドホン本体,4950,2,e☆イヤホン【イヤホン・ヘッドホン専門店 16時までの通常注文は当日発送！】 / 水月雨(MOONDROP)公式ストア,メーカー直販,6750,いいえ,2026-02-23以降,3523,4772,標準(小型),182,中小候補,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0FDPYH3JR,
A,B0G7G1XGS2,プロジェクター 小型 270°回転 ネイティブ1080P 32000LM 天井投影 Bluetooth5.4 ホームプロジェクター 4k対応 家庭用プロジェクタ,Alprojec,Alprojec,家電＆カメラ > テレビ・レコーダー > ホームプロジェクター,1748,3,Benkaer【翌日発送】 / Alprojec / Al-Alprojec【当日発送】,メーカー直販,5699,はい,2026-02-23以降,3421,4526,標準1,282,中小候補,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0G7G1XGS2,
A,B0FVLZ7YCP,Magcubic プロジェクター 家庭用 小型 天井投影 Android 14搭載 4K対応 360°HIFI 立体スピーカー,Magcubic,Magcubic,家電＆カメラ > テレビ・レコーダー > ホームプロジェクター,8564,2,Professional Projectors Store / Visual perception,,7549,はい,2026-02-23以降,4134,5534,標準1,282,中小候補,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0FVLZ7YCP,
A,B0GHMT3457,Juliyas ネックケア 首 リラクゼーション器 EMS×TENS Ｗ効果 振動 首元ケア ホットケア 10種類のモード 19段階強度調節,Juliyas,Juliyas,ホーム＆キッチン > 家電 > 健康家電,3968,2,ERCHE / ChenZU,,1999,はい,2026-02-23以降,1104,1210,標準(小型),182,中小候補,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0GHMT3457,
A,B0BY7YHDZH,ロジテックダイレクト BD-RE AACS対応 ブルーレイディスク Blu-ray Disc 2倍速 くり返し録画用 記録用 25GB 記録メディア スピンドル,ロジテック,ロジテックダイレクト,パソコン・周辺機器 > PCアクセサリ・サプライ > 記録メディア,1773,2,エレコムダイレクトショップ【ELECOM直営公式ストア】 / ロジテックダイレクト,メーカー直販,2780,はい,2026-02-23以降,1506,1815,標準1,282,中小候補,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0BY7YHDZH,
A,B0FX7X94T4,【2026革新型・高質感・高速処理】 cd dvdドライブ 外付け dvd ドライブ 外付け cdドライブ 光学ドライブ 6-in-1 外付けdvdドライブ U,Nexmora,Nexmora,パソコン・周辺機器 > 外付けドライブ・ストレージ > 外付光学式ドライブ,1776,2,Go.Fusion / mituho shop,,2680,はい,2026-02-23以降,1459,1748,標準1,282,中小候補,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0FX7X94T4,
A,B0GH7VP7MW,THREEKEY マグセーフ充電器 Qi2認証 25W急速充電 高風量冷却ファン搭載,THREEKEY,"Shenzhen Suiqi Innovation Technology Co.,Ltd.",家電＆カメラ > 携帯電話・スマートフォン > 携帯電話・スマートフォンアクセサリ,5745,2,Threekey Direct / Threekey-Office,メーカー直販,2999,はい,2026-02-23以降,1767,2287,標準(小型),182,中小候補,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0GH7VP7MW,
A,B0F6LKG8ZT,【Amazon.co.jp限定】ミスト ファン 扇風機 卓上扇風機 キャンプ 風量無段階調節 55時間連続使用 アウトドア ミストスプレーファン Sinessy,Sinessy,Sinessy,ホーム＆キッチン > 家電 > 空調・季節家電,2014,2,Sinessy-専門店 / Karlsway-JP,メーカー直販,6999,はい,2026-02-23以降,4217,5103,標準2,332,中小候補,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0F6LKG8ZT,
A,B0GC548RFC,ワイヤレスHDMI送受信機セット 無線 HDMI【2WAY接続で対応率99%】0.1秒超低遅延 1080P/50m伝送 音画同期 WiFi・設定不要,Yaotin,Yaotin,パソコン・周辺機器 > PCアクセサリ・サプライ,2414,2,Yaotin-JP / Yaotin Store,メーカー直販,6999,はい,2026-02-23以降,4367,5967,標準(小型),182,中小候補,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0GC548RFC,
A,B0F2M5QFQ2,Newsoul モニターアーム VESA モバイルモニタースタンド 卓上 持ち運び モバイルディスプレイアームスタンド 自立式 2段,Newsoul,Newsoul,パソコン・周辺機器 > PCアクセサリ・サプライ > モニターアクセサリ,3080,2,HongKongNuofang / hongqikejiyouxiangongsi,,2699,はい,2026-02-23以降,1261,1469,標準1,282,中小候補,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0F2M5QFQ2,
B,B0FJS3VBHQ,"Anker Prime Wireless Charging Station (3-in-1, MagGo, AirCool, Dock Stand)",Anker,Anker,家電＆カメラ > 携帯電話・スマートフォン > 携帯電話・スマートフォンアクセサリ,5804,3,AnkerDirect / 安心末広ショップ / 【インボイス対応】フローレッド,メーカー直販,17990,はい,2026-02-23以降,10061,13864,標準2,332,大手/海外疑い,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0FJS3VBHQ,
A,B0DG2K4RJ8,[Sinjimoru] MagSafe対応カードケース スタンド付きグリップ 片手操作 強力磁石 iPhone 12~17シリーズ対応 ブラック,Sinjimoru,Sinjimoru Co.Ltd,家電＆カメラ > 携帯電話・スマートフォン > 携帯電話・スマートフォンアクセサリ,3657,2,Sinjimoru Co. Ltd / WESTHILLS JAPAN,メーカー直販,2980,はい,2026-02-23以降,1256,1563,標準(小型),182,中小候補,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0DG2K4RJ8,
A,B0G125V3W6,iFace BeBling 2 MagSafe対応 スマホリング MagSynq Ring Holder (クリア),iface,Hamee(ハミィ),家電＆カメラ > 携帯電話・スマートフォン > 携帯電話・スマートフォンアクセサリ,3217,2,Hamee(ハミィ) / 株式会社コジマ,,3520,はい,2026-02-23以降,1755,2269,標準(小型),182,中小候補,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0G125V3W6,
A,B0GJ37HXXY,Ｌａｚｙｍｅ コードレス フードプロセッサー 小型 時短調理 チョッパー 1台5役 2種の刃 離乳食/肉挽き/野菜/氷/対応 キッチン家電 家庭用,Ｌａｚｙｍｅ,Ｌａｚｙｍｅ,ホーム＆キッチン > 家電 > キッチン家電,7137,2,XuShiAn JP / BendiT,,2980,はい,2026-02-23以降,1655,1817,標準1,282,中小候補,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0GJ37HXXY,
A,B0D1C44P6W,FAR EAST GADGET ファーイーストガジェット タイプスティックス (Black),FAR EAST GADGET,FAR EAST GADGET,パソコン・周辺機器 > PCアクセサリ・サプライ > キーボード&マウスアクセサリ,1679,2,ファーイーストガジェット / PFUダイレクト,,2480,はい,2026-02-23以降,1430,1809,標準(小型),182,中小候補,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0D1C44P6W,
A,B0DLT44228,Kachiari(カチアリ) 電動ドライバー KA-9 18V対応 40N.m 家具組立 ネジ締め 本体のみ,Kachiari,Kachiari KA-9,DIY・工具・ガーデン > 電動工具・エア工具 > 穴あけ・締付工具,6379,2,SYPOUSY LIMITED / Kachiari,メーカー直販,4160,はい,2026-02-23以降,2027,2304,標準1,282,中小候補,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0DLT44228,
