preset,ASIN,商品名,ブランド,メーカー,カテゴリ,ランク,月間ドロップ数,月間販売数,新品オファー数,実セラー数,セラー名一覧,メーカー直販フラグ,新品最安値(送料込),過去最安値(送料込・2026-02-23以降),参考_365日最安(価格定義混在),価格定義混在,採用窓,窓差率%,損益分岐仕入れ値,損益分岐仕入れ値_精緻,仕入れ掛け率上限%,想定月販,消化月数,消化月数_ロット5,分母の根拠,FBAサイズ区分,外注費,規模フラグ,段1回転,段2値下げ耐性,判定,見送り理由,出品制限チェック,Amazonページ
A,B0FVLZ7YCP,Magcubic プロジェクター 家庭用 小型 天井投影 Android 14搭載 4K対応 360°HIFI 立体スピーカー,Magcubic,Magcubic,家電＆カメラ > テレビ・レコーダー > ホームプロジェクター,8564,36,200,2,2,Professional Projectors Store / Visual perception,,7549,6794,6794,はい,2026-02-23以降,0.0,4134,5534,54.8,12.0,0.83,0.42,実セラー数,標準1,282,中小候補,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0FVLZ7YCP
A,B0GHMT3457,Juliyas ネックケア 首 リラクゼーション器 EMS×TENS Ｗ効果 振動 首元ケア ホットケア 10種類のモード 19段階強度調節,Juliyas,Juliyas,ホーム＆キッチン > 家電 > 健康家電,3968,36,300,2,2,ERCHE / ChenZU,,1999,1979,1979,はい,2026-02-23以降,0.0,1104,1210,55.2,12.0,0.83,0.42,実セラー数,標準(小型),182,中小候補,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0GHMT3457
A,B0BY7YHDZH,ロジテックダイレクト BD-RE AACS対応 ブルーレイディスク Blu-ray Disc 2倍速 くり返し録画用 記録用 25GB 記録メディア スピンドル,ロジテック,ロジテックダイレクト,パソコン・周辺機器 > PCアクセサリ・サプライ > 記録メディア,1773,36,50,2,2,エレコムダイレクトショップ【ELECOM直営公式ストア】 / ロジテックダイレクト,メーカー直販,2780,2752,2752,はい,2026-02-23以降,0.0,1506,1815,54.2,12.0,0.83,0.42,実セラー数,標準1,282,中小候補,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0BY7YHDZH
A,B0FX7X94T4,【2026革新型・高質感・高速処理】 cd dvdドライブ 外付け dvd ドライブ 外付け cdドライブ 光学ドライブ 6-in-1 外付けdvdドライブ U,Nexmora,Nexmora,パソコン・周辺機器 > 外付けドライブ・ストレージ > 外付光学式ドライブ,1776,36,200,2,2,Go.Fusion / mituho shop,,2680,2679,2679,はい,2026-02-23以降,0.0,1459,1748,54.5,12.0,0.83,0.42,実セラー数,標準1,282,中小候補,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0FX7X94T4
A,B0GH7VP7MW,THREEKEY マグセーフ充電器 Qi2認証 25W急速充電 高風量冷却ファン搭載,THREEKEY,"Shenzhen Suiqi Innovation Technology Co.,Ltd.",家電＆カメラ > 携帯電話・スマートフォン > 携帯電話・スマートフォンアクセサリ,5745,36,200,2,2,Threekey Direct / Threekey-Office,メーカー直販,2999,2999,2999,はい,2026-02-23以降,0.0,1767,2287,58.9,12.0,0.83,0.42,実セラー数,標準(小型),182,中小候補,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0GH7VP7MW
A,B0F6LKG8ZT,【Amazon.co.jp限定】ミスト ファン 扇風機 卓上扇風機 キャンプ 風量無段階調節 55時間連続使用 アウトドア ミストスプレーファン Sinessy,Sinessy,Sinessy,ホーム＆キッチン > 家電 > 空調・季節家電,2014,36,1000,2,2,Sinessy-専門店 / Karlsway-JP,メーカー直販,6999,6999,5990,はい,2026-02-23以降,16.8,4217,5103,60.3,12.0,0.83,0.42,実セラー数,標準2,332,中小候補,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0F6LKG8ZT
A,B0GC548RFC,ワイヤレスHDMI送受信機セット 無線 HDMI【2WAY接続で対応率99%】0.1秒超低遅延 1080P/50m伝送 音画同期 WiFi・設定不要,Yaotin,Yaotin,パソコン・周辺機器 > PCアクセサリ・サプライ,2414,36,200,2,2,Yaotin-JP / Yaotin Store,メーカー直販,6999,6999,6999,はい,2026-02-23以降,0.0,4367,5967,62.4,12.0,0.83,0.42,実セラー数,標準(小型),182,中小候補,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0GC548RFC
A,B0F2M5QFQ2,Newsoul モニターアーム VESA モバイルモニタースタンド 卓上 持ち運び モバイルディスプレイアームスタンド 自立式 2段,Newsoul,Newsoul,パソコン・周辺機器 > PCアクセサリ・サプライ > モニターアクセサリ,3080,36,200,2,2,HongKongNuofang / hongqikejiyouxiangongsi,,2699,2375,2199,はい,2026-02-23以降,8.0,1261,1469,46.7,12.0,0.83,0.42,実セラー数,標準1,282,中小候補,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0F2M5QFQ2
B,B0FJS3VBHQ,"Anker Prime Wireless Charging Station (3-in-1, MagGo, AirCool, Dock Stand)",Anker,Anker,家電＆カメラ > 携帯電話・スマートフォン > 携帯電話・スマートフォンアクセサリ,5804,47,100,3,3,AnkerDirect / 安心末広ショップ / 【インボイス対応】フローレッド,メーカー直販,17990,15990,15990,はい,2026-02-23以降,0.0,10061,13864,55.9,11.75,0.85,0.43,実セラー数,標準2,332,大手/海外疑い,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0FJS3VBHQ
A,B0DG2K4RJ8,[Sinjimoru] MagSafe対応カードケース スタンド付きグリップ 片手操作 強力磁石 iPhone 12~17シリーズ対応 ブラック,Sinjimoru,Sinjimoru Co.Ltd,家電＆カメラ > 携帯電話・スマートフォン > 携帯電話・スマートフォンアクセサリ,3657,35,200,2,2,Sinjimoru Co. Ltd / WESTHILLS JAPAN,メーカー直販,2980,2213,2213,はい,2026-02-23以降,0.0,1256,1563,42.2,11.67,0.86,0.43,実セラー数,標準(小型),182,中小候補,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0DG2K4RJ8
